system,run,rep,method,budget,scenario,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,AUC,P_at_R90,FPR_at_TPR90
RUT_ACTIVE_B95,2,RUT,ACTIVE,2000,LATE_TEST_Q4,2.4030134677886967,0.7221403894051796,0.007411328745367919,0.9974106680476437,0.8377425318068135,26964,70,9375,10375,7.4113287453679195,0.9961698203991782,0.9860009044513128,0.9918843145934779,0.029115934356802542
RUT_ACTIVE_B95,3,RUT,ACTIVE,2000,OFFICIAL_TEST,1.9584240913391116,0.7502473958333333,0.005435020819636204,0.9914651983136884,0.8541526146091983,57619,496,90764,19181,5.435020819636204,0.9871526015047026,0.988014543782873,0.971278015878592,0.022397545474468553
RUT_ACTIVE_B95,3,RUT,ACTIVE,2000,DOMAIN_OOD_EXACT,1.9584240913391116,0.7583309922275288,0.010396929504931254,0.9925062156388976,0.8597580859212073,56686,428,40738,18065,10.396929504931254,0.9906660712620092,0.9833592676595592,0.9768853268287017,0.0386726910557256
RUT_ACTIVE_B95,3,RUT,ACTIVE,2000,TEMPLATE_OOD_EXACT,1.9584240913391116,0.7507261908119236,0.00530424671945075,0.9910832293974199,0.8543209480330881,53240,479,89826,17678,5.3042467194507505,0.9863817442432001,0.9879179393182933,0.9701782918636288,0.02172637174021372
RUT_ACTIVE_B95,3,RUT,ACTIVE,2000,DOMAIN_TEMPLATE_OOD_EXACT,1.9584240913391116,0.759349475966751,0.010190615835777126,0.9921239021626216,0.860268588273829,52528,417,40503,16647,10.190615835777127,0.9900168142013568,0.9832705503806382,0.9756032591664056,0.038049853372434016
RUT_ACTIVE_B95,3,RUT,ACTIVE,2000,LATE_TEST_Q4,1.9584240913391116,0.7387985752162618,0.007305452620434092,0.9975049719761345,0.8488783580022772,27586,69,9376,9753,7.3054526204340915,0.9964204730532338,0.9869215892148413,0.9915081822202565,0.030492323980942298
RUT_ACTIVE_B95,4,RUT,ACTIVE,2000,OFFICIAL_TEST,2.35107970237732,0.7099609375,0.004832347140039448,0.9919768584215697,0.8276034788944038,54525,441,90819,22275,4.832347140039448,0.9853680797450218,0.9866761785380824,0.9642588097430317,0.028073635765943458
RUT_ACTIVE_B95,4,RUT,ACTIVE,2000,DOMAIN_OOD_EXACT,2.35107970237732,0.7189469037203515,0.009522421415731428,0.9927587098681051,0.8339527485743103,53742,392,40774,21009,9.522421415731428,0.9888551888295888,0.9801264655733263,0.9704575615948301,0.049749793518923384
RUT_ACTIVE_B95,4,RUT,ACTIVE,2000,TEMPLATE_OOD_EXACT,2.35107970237732,0.7014439211483685,0.004828082608936382,0.9913114525417986,0.8215592201421976,49745,436,89869,21173,4.828082608936382,0.9840937212778985,0.9863555471543983,0.9610514746842114,0.028647361718620232
RUT_ACTIVE_B95,4,RUT,ACTIVE,2000,DOMAIN_TEMPLATE_OOD_EXACT,2.35107970237732,0.710950487893025,0.009457478005865102,0.9921923860633083,0.828350541510165,49180,387,40533,19995,9.457478005865102,0.987839680632328,0.9797309499862399,0.9678071225381232,0.050610948191593355
RUT_ACTIVE_B95,4,RUT,ACTIVE,2000,LATE_TEST_Q4,2.35107970237732,0.6824499852700929,0.006352567496029645,0.997650927883486,0.8104832938407468,25482,60,9385,11857,6.352567496029645,0.9958687292094577,0.9848724485321991,0.9901383573741537,0.035468501852832186
