reference,margin,budget,scenario,mean_delta,delta_fpr,p_ni
R0_200K,0.01,100000,OFFICIAL_TEST,0.06357812499999993,-0.00074402805172041,0.0009765625
XGB_200K,0.01,100000,OFFICIAL_TEST,0.0732617187500001,-0.0007703265395573198,6.614493119466852e-13
R0_200K,0.01,100000,TEMPLATE_OOD_EXACT,0.06450830536676157,-0.000774043519185,0.0009765625
XGB_200K,0.01,100000,TEMPLATE_OOD_EXACT,0.07713556501875396,-0.0006799180554786502,7.154670233414594e-14
R0_200K,0.01,200000,DOMAIN_OOD_EXACT,0.07399232117296084,-0.0016275567215663003,0.0009765625
XGB_200K,0.01,200000,DOMAIN_OOD_EXACT,0.09372851199315058,-0.00223242481659623,2.9685166847415563e-15
R0_200K,0.01,200000,DOMAIN_TEMPLATE_OOD_EXACT,0.07535959522949043,-0.0016373411534702006,0.0009765625
XGB_200K,0.01,200000,DOMAIN_TEMPLATE_OOD_EXACT,0.09875243946512446,-0.002040566959921771,4.53686907361369e-15
R0_200K,0.01,200000,LATE_TEST_Q4,0.09170036690859429,-0.0015881418740074007,0.0009765625
XGB_200K,0.01,200000,LATE_TEST_Q4,0.10632850370925839,-0.0038538909475912906,6.816093848139217e-14
R0_200K,0.01,200000,OFFICIAL_TEST,0.07792968749999996,-0.0006793776024546002,0.0009765625
XGB_200K,0.01,200000,OFFICIAL_TEST,0.08761328125000012,-0.0007056760902915101,3.562342400975291e-15
R0_200K,0.01,200000,TEMPLATE_OOD_EXACT,0.07927465523562416,-0.0007087093737888003,0.0009765625
XGB_200K,0.01,200000,TEMPLATE_OOD_EXACT,0.09190191488761656,-0.0006145839100824505,6.42435346675457e-15
R0_200K,0.02,2000,DOMAIN_OOD_EXACT,-0.173924094660941,-0.002334450760336171,1.0
XGB_200K,0.02,2000,DOMAIN_OOD_EXACT,-0.1541879038407512,-0.0029393188553661007,0.9999997684275184
R0_200K,0.02,2000,DOMAIN_TEMPLATE_OOD_EXACT,-0.18070112034694613,-0.00229960899315744,1.0
XGB_200K,0.02,2000,DOMAIN_TEMPLATE_OOD_EXACT,-0.15730827611131204,-0.0027028347996090104,0.9999996303007791
R0_200K,0.02,2000,LATE_TEST_Q4,-0.16727282466054255,-0.00320804658549499,1.0
XGB_200K,0.02,2000,LATE_TEST_Q4,-0.15264468785987828,-0.00547379565907888,0.9999991572032408
R0_200K,0.02,2000,OFFICIAL_TEST,-0.17144401041666674,-0.0012042515888670098,1.0
XGB_200K,0.02,2000,OFFICIAL_TEST,-0.16176041666666663,-0.0012305500767039197,0.9999998863701642
R0_200K,0.02,2000,TEMPLATE_OOD_EXACT,-0.17832849206125387,-0.0012258457449753797,1.0
XGB_200K,0.02,2000,TEMPLATE_OOD_EXACT,-0.16570123240926138,-0.0011317202812690299,0.9999998228460816
R0_200K,0.02,5000,DOMAIN_OOD_EXACT,-0.09693783360757718,-0.0018243210416362694,1.0
XGB_200K,0.02,5000,DOMAIN_OOD_EXACT,-0.07720164278738739,-0.002429189136666199,0.9998782831372854
R0_200K,0.02,5000,DOMAIN_TEMPLATE_OOD_EXACT,-0.1037441272135887,-0.0017937438905181406,1.0
XGB_200K,0.02,5000,DOMAIN_TEMPLATE_OOD_EXACT,-0.08035128297795469,-0.002196969696969711,0.9998513493544907
R0_200K,0.02,5000,LATE_TEST_Q4,-0.09742628351053854,-0.0021916357861302494,1.0
XGB_200K,0.02,5000,LATE_TEST_Q4,-0.0827981467098744,-0.004457384859714139,0.9999903275904986
R0_200K,0.02,5000,OFFICIAL_TEST,-0.0941393229166667,-0.0008568923953539602,1.0
XGB_200K,0.02,5000,OFFICIAL_TEST,-0.08445572916666666,-0.0008831908831908701,0.9999515255045615
R0_200K,0.02,5000,TEMPLATE_OOD_EXACT,-0.10118869680476048,-0.0008692763412878595,1.0
XGB_200K,0.02,5000,TEMPLATE_OOD_EXACT,-0.0885614371527681,-0.0007751508775815097,0.9999454305039653
R0_200K,0.02,10000,DOMAIN_OOD_EXACT,-0.046923786972749536,-0.002281008599329521,1.0
XGB_200K,0.02,10000,DOMAIN_OOD_EXACT,-0.027187596152559723,-0.002885876694359451,0.9753692920585446
R0_200K,0.02,10000,DOMAIN_TEMPLATE_OOD_EXACT,-0.050788579689194036,-0.00227028347996093,1.0
XGB_200K,0.02,10000,DOMAIN_TEMPLATE_OOD_EXACT,-0.02739573545355989,-0.0026735092864125006,0.9712096540354209
R0_200K,0.02,10000,LATE_TEST_Q4,-0.05253220493317976,-0.002668078348332459,0.9990234375
XGB_200K,0.02,10000,LATE_TEST_Q4,-0.03790406813251568,-0.004933827421916349,0.9939184582040237
R0_200K,0.02,10000,OFFICIAL_TEST,-0.04382421875000007,-0.0011122068814376999,1.0
XGB_200K,0.02,10000,OFFICIAL_TEST,-0.034140624999999813,-0.0011385053692746097,0.9994504955336616
R0_200K,0.02,10000,TEMPLATE_OOD_EXACT,-0.04795679517188869,-0.0011328276396656099,1.0
