seed,budget,rep,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90
122,20000,RT,FINAL,OFFICIAL_TEST,0.001,7.042968750000001,0.4519010416666666,0.0011176857330703,0.9970696391634108,0.6219267436026091,34706,102,91158,42094,1.1176857330703485,0.9854048225553864,0.9803006665721176
122,20000,RT,FINAL,DOMAIN_OOD_EXACT,0.001,7.042968750000001,0.4600473572259902,0.0022105621143662,0.9973607888631092,0.6296564162188389,34389,91,41075,40362,2.2105621143662244,0.9900580738210598,0.9839440821220716
122,20000,RT,FINAL,TEMPLATE_OOD_EXACT,0.001,7.042968750000001,0.4491525423728814,0.001107358396545,0.9968704034050012,0.6192804580494018,31853,100,90205,39065,1.1073583965450418,0.9843667244733634,0.9797240257248546
122,20000,RT,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.001,7.042968750000001,0.4571304662088905,0.0021749755620723,0.9971934029201224,0.6268857918839086,31622,89,40831,37553,2.174975562072336,0.9893742460438026,0.983356230359878
122,20000,RT,FINAL,LATE_TEST_Q4,0.001,7.042968750000001,0.5013524732853049,0.0013763896241397,0.9993060374739764,0.6677129405050649,18720,13,9432,18619,1.3763896241397566,0.9959807893196256,0.9942917985271066
122,20000,RT,DEV,DEV,0.0025,5.492187500000001,0.7935,0.003,0.9962335216572504,0.8833843584748121,7935,30,9970,2065,3.0,0.9938708674194774,0.9911232876712328
122,20000,RT,FINAL,OFFICIAL_TEST,0.0025,5.492187500000001,0.5925,0.0025312294543063,0.9949491636602164,0.7427102460521484,45504,231,91029,31296,2.5312294543063776,0.9854048225553864,0.9803006665721176
122,20000,RT,FINAL,DOMAIN_OOD_EXACT,0.0025,5.492187500000001,0.6033899212050675,0.0049312539474323,0.995519456154678,0.7513701710839761,45104,203,40963,29647,4.931253947432347,0.9900580738210598,0.9839440821220716
122,20000,RT,FINAL,TEMPLATE_OOD_EXACT,0.0025,5.492187500000001,0.5912885304154093,0.0025247771441226,0.9945921586300136,0.7416584865448048,41933,228,90077,28985,2.5247771441226954,0.9843667244733634,0.9797240257248546
122,20000,RT,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,5.492187500000001,0.6017636429345862,0.0048875855327468,0.9952183995983456,0.7500225221167186,41627,200,40720,27548,4.887585532746823,0.9893742460438026,0.983356230359878
122,20000,RT,FINAL,LATE_TEST_Q4,0.0025,5.492187500000001,0.642947052679504,0.0026469031233456,0.9989597203728362,0.7823564875918593,24007,25,9420,13332,2.6469031233456857,0.9959807893196256,0.9942917985271066
122,20000,RT,DEV,DEV,0.005,3.3847656250000004,0.8665,0.0052,0.994034644946656,0.9258962440562056,8665,52,9948,1335,5.2,0.9938708674194774,0.9911232876712328
122,20000,RT,FINAL,OFFICIAL_TEST,0.005,3.3847656250000004,0.7262109375,0.0054678939294323,0.9911323571225475,0.8382379463748947,55773,499,90761,21027,5.467893929432391,0.9854048225553864,0.9803006665721176
122,20000,RT,FINAL,DOMAIN_OOD_EXACT,0.005,3.3847656250000004,0.7384382817621169,0.0108827673322644,0.9919492515319784,0.8466234144695471,55199,448,40718,19552,10.882767332264493,0.9900580738210598,0.9839440821220716
122,20000,RT,FINAL,TEMPLATE_OOD_EXACT,0.005,3.3847656250000004,0.7215657519952622,0.0054149825591052,0.9905344457134008,0.8349227844900025,51172,489,89816,19746,5.414982559105255,0.9843667244733634,0.9797240257248546
122,20000,RT,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.3847656250000004,0.7331261293820022,0.0107038123167155,0.991437284954645,0.842936331829099,50714,438,40482,18461,10.703812316715542,0.9893742460438026,0.983356230359878
122,20000,RT,FINAL,LATE_TEST_Q4,0.005,3.3847656250000004,0.7831489863145773,0.0066701958708311,0.9978501962122504,0.8775583698457475,29242,63,9382,8097,6.670195870831128,0.9959807893196256,0.9942917985271066
122,20000,RT,DEV,DEV,0.01,1.5039062500000002,0.9256,0.0105,0.9887832496528148,0.9561489592479728,9256,105,9895,744,10.5,0.9938708674194774,0.9911232876712328
122,20000,RT,FINAL,OFFICIAL_TEST,0.01,1.5039062500000002,0.85125,0.0104865220249835,0.9855727918230744,0.9135000314392908,65376,957,90303,11424,10.486522024983564,0.9854048225553864,0.9803006665721176
122,20000,RT,FINAL,DOMAIN_OOD_EXACT,0.01,1.5039062500000002,0.8585704539069712,0.0203808968566292,0.9870958811406072,0.9183581480872012,64179,839,40327,10572,20.380896856629256,0.9900580738210598,0.9839440821220716
122,20000,RT,FINAL,TEMPLATE_OOD_EXACT,0.01,1.5039062500000002,0.8514481513861079,0.0103427274237306,0.9847676826981098,0.9132680455250124,60383,934,89371,10535,10.342727423730691,0.9843667244733634,0.9797240257248546
122,20000,RT,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.01,1.5039062500000002,0.8591832309360318,0.0199902248289345,0.9864236871805084,0.918417331777759,59434,818,40102,9741,19.990224828934505,0.9893742460438026,0.983356230359878
122,20000,RT,FINAL,LATE_TEST_Q4,0.01,1.5039062500000002,0.8752778596105948,0.0149285336156696,0.9957042317886848,0.9316154043499332,32682,141,9304,4657,14.928533615669666,0.9959807893196256,0.9942917985271066
122,20000,RT,DEV,DEV,0.02,0.10107421875,0.955,0.0203,0.9791858915205578,0.9669417303700704,9550,203,9797,450,20.3,0.9938708674194774,0.9911232876712328
122,20000,RT,FINAL,OFFICIAL_TEST,0.02,0.10107421875,0.918203125,0.0228468113083497,0.9712821784223792,0.9439971084917974,70518,2085,89175,6282,22.84681130834977,0.9854048225553864,0.9803006665721176
122,20000,RT,FINAL,DOMAIN_OOD_EXACT,0.02,0.10107421875,0.9255260799186632,0.0412476315405917,0.9760446939984764,0.9501143284832422,69184,1698,39468,5567,41.24763154059176,0.9900580738210598,0.9839440821220716
122,20000,RT,FINAL,TEMPLATE_OOD_EXACT,0.02,0.10107421875,0.9199639019712909,0.0226786999612424,0.9695645712587307,0.9441132206529288,65242,2048,88257,5676,22.67869996124245,0.9843667244733634,0.9797240257248546
122,20000,RT,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.02,0.10107421875,0.9279508492952656,0.040713587487781,0.97470276508192,0.95075241424255,64191,1666,39254,4984,40.71358748778104,0.9893742460438026,0.983356230359878
122,20000,RT,FINAL,LATE_TEST_Q4,0.02,0.10107421875,0.9253863252899114,0.0377977766013763,0.9897737038097966,0.9564976677877896,34553,357,9088,2786,37.79777660137639,0.9959807893196256,0.9942917985271066
122,200000,RT,DEV,DEV,0.0001,10.562500000000002,0.6179,0.0,1.0,0.763829655726559,6179,0,10000,3821,0.0,0.9991905406227664,0.9996704383170384
122,200000,RT,FINAL,OFFICIAL_TEST,0.0001,10.562500000000002,0.3988020833333333,6.574621959237344e-05,0.9998041391917476,0.5701733157101104,30628,6,91254,46172,0.0657462195923734,0.9950803713931176,0.9961574440526731
122,200000,RT,FINAL,DOMAIN_OOD_EXACT,0.0001,10.562500000000002,0.3975063878744097,9.716756546664723e-05,0.9998654014402046,0.5688577472743112,29714,4,41162,45037,0.0971675654666472,0.9965367364927652,0.9970883830919304
122,200000,RT,FINAL,TEMPLATE_OOD_EXACT,0.0001,10.562500000000002,0.4027609351645562,6.644150379270251e-05,0.9997899821484826,0.5742056751133314,28563,6,90299,42355,0.0664415037927025,0.9950706694073254,0.996010472509662
122,200000,RT,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,10.562500000000002,0.4025731839537405,9.775171065493646e-05,0.9998563837426396,0.5740257866367093,27848,4,40916,41327,0.0977517106549364,0.996566003051632,0.9970699841490944
122,200000,RT,FINAL,LATE_TEST_Q4,0.0001,10.562500000000002,0.3914673665604328,0.0005293806246691,0.9996580495144304,0.5626142683936028,14617,5,9440,22722,0.5293806246691372,0.997617723320797,0.9973036238110758
122,200000,RT,DEV,DEV,0.0005,8.054687500000002,0.8971,0.0003,0.9996657009137508,0.9456097818066828,8971,3,9997,1029,0.3,0.9991905406227664,0.9996704383170384
122,200000,RT,FINAL,OFFICIAL_TEST,0.0005,8.054687500000002,0.7274088541666667,0.0009533201840894,0.998445095796397,0.8416445703266241,55865,87,91173,20935,0.9533201840894148,0.9950803713931176,0.9961574440526731
122,200000,RT,FINAL,DOMAIN_OOD_EXACT,0.0005,8.054687500000002,0.7299032788859012,0.0014089296992663,0.9989380984639044,0.8434876710211022,54561,58,41108,20190,1.408929699266385,0.9965367364927652,0.9970883830919304
122,200000,RT,FINAL,TEMPLATE_OOD_EXACT,0.0005,8.054687500000002,0.7252037564511126,0.0009412546370632,0.9983499951470446,0.8401329706860079,51430,85,90220,19488,0.9412546370632856,0.9950706694073254,0.996010472509662
122,200000,RT,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,8.054687500000002,0.7280954101915432,0.0013685239491691,0.9988893736860894,0.8422619296470647,50366,56,40864,18809,1.3685239491691104,0.996566003051632,0.9970699841490944
